,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
20,2,50,0.01,"[[0.8235294117647058, 0.7749999761581421, 124, 120], [0.787878787878788, 0.7083333134651184, 244, 120], [0.8316831683168318, 0.8583333492279053, 364, 120], [0.7755102040816326, 0.7250000238418579, 484, 120], [0.912621359223301, 0.925000011920929, 604, 120]]",0.8262445862530517,0.7983333349227906
21,2,70,0.001,"[[0.8613138686131387, 0.8416666388511658, 124, 120], [0.8073394495412844, 0.824999988079071, 244, 120], [0.8082191780821918, 0.7666666507720947, 364, 120], [0.9122807017543859, 0.9166666865348816, 484, 120], [0.9016393442622952, 0.8999999761581421, 604, 120]]",0.8581585084506592,0.8499999880790711
22,2,70,0.005,"[[0.8652482269503546, 0.8416666388511658, 124, 120], [0.9411764705882353, 0.9333333373069763, 244, 120], [0.959349593495935, 0.9583333134651184, 364, 120], [0.8549618320610687, 0.8416666388511658, 484, 120], [0.7640449438202247, 0.824999988079071, 604, 120]]",0.8769562133831637,0.8799999833106995
23,2,70,0.01,"[[0.8547008547008547, 0.8583333492279053, 124, 120], [0.8495575221238938, 0.8583333492279053, 244, 120], [0.5783132530120482, 0.7083333134651184, 364, 120], [0.8869565217391304, 0.8916666507720947, 484, 120], [0.9090909090909091, 0.9083333611488342, 604, 120]]",0.8157238121333673,0.8450000047683716
24,3,10,0.001,"[[0.7792207792207793, 0.7166666388511658, 124, 120], [0.9172932330827067, 0.9083333611488342, 244, 120], [0.8543689320388349, 0.875, 364, 120], [0.8153846153846154, 0.800000011920929, 484, 120], [0.846153846153846, 0.8333333134651184, 604, 120]]",0.8424842811761565,0.8266666650772094
25,3,10,0.005,"[[0.7850467289719627, 0.8083333373069763, 124, 120], [0.9268292682926829, 0.925000011920929, 244, 120], [0.9666666666666667, 0.9666666388511658, 364, 120], [0.9122807017543859, 0.9166666865348816, 484, 120], [0.8172043010752689, 0.8583333492279053, 604, 120]]",0.8816055333521934,0.8950000047683716
26,3,10,0.01,"[[0.8672566371681417, 0.875, 124, 120], [0.9448818897637796, 0.9416666626930237, 244, 120], [0.9666666666666667, 0.9666666388511658, 364, 120], [0.8444444444444443, 0.824999988079071, 484, 120], [0.9166666666666666, 0.9166666865348816, 604, 120]]",0.9079832609419398,0.9049999952316284
27,3,30,0.001,"[[0.8656716417910447, 0.8500000238418579, 124, 120], [0.9218749999999999, 0.9166666865348816, 244, 120], [0.8805970149253731, 0.8666666746139526, 364, 120], [0.7755102040816326, 0.7250000238418579, 484, 120], [0.8297872340425533, 0.8666666746139526, 604, 120]]",0.8546882189681207,0.8450000166893006
28,3,30,0.005,"[[0.7572815533980581, 0.7916666865348816, 124, 120], [0.7975460122699386, 0.7250000238418579, 244, 120], [0.7662337662337663, 0.699999988079071, 364, 120], [0.9038461538461539, 0.9166666865348816, 484, 120], [0.9814814814814815, 0.9833333492279053, 604, 120]]",0.8412777934458797,0.8233333468437195
29,3,30,0.01,"[[0.6885245901639345, 0.5249999761581421, 124, 120], [0.9, 0.8999999761581421, 244, 120], [0.9074074074074074, 0.9166666865348816, 364, 120], [0.8932038834951457, 0.9083333611488342, 484, 120], [0.8396946564885496, 0.824999988079071, 604, 120]]",0.8457661075110074,0.8149999976158142
30,3,50,0.001,"[[0.8531468531468531, 0.824999988079071, 124, 120], [0.8024691358024691, 0.7333333492279053, 244, 120], [0.8316831683168318, 0.8583333492279053, 364, 120], [0.9009009009009009, 0.9083333611488342, 484, 120], [0.8270676691729323, 0.8083333373069763, 604, 120]]",0.8430535454679975,0.8266666769981384
31,3,50,0.005,"[[0.8037383177570094, 0.824999988079071, 124, 120], [0.7735849056603773, 0.800000011920929, 244, 120], [0.9464285714285715, 0.949999988079071, 364, 120], [0.9137931034482759, 0.9166666865348816, 484, 120], [0.9333333333333333, 0.9416666626930237, 604, 120]]",0.8741756463255135,0.8866666674613952
32,3,50,0.01,"[[0.802547770700637, 0.7416666746139526, 124, 120], [0.927536231884058, 0.9166666865348816, 244, 120], [0.936936936936937, 0.9416666626930237, 364, 120], [0.7037037037037037, 0.6000000238418579, 484, 120], [0.8148148148148148, 0.7916666865348816, 604, 120]]",0.83710789160803,0.7983333468437195
