,Unnamed: 0,hidden_layers,neurons,learning_rate,metrics,f1_score_avg,acuracy_avg
21,21.0,2,70,0.001,"[[0.7134502923976608, 0.5829787254333496, 237, 235], [0.9116279069767441, 0.9191489219665527, 472, 235], [0.8754448398576512, 0.8510638475418091, 707, 235], [0.9096989966555183, 0.8851063847541809, 942, 235], [0.970464135021097, 0.9702127575874329, 1177, 235]]",0.8761372341817342,0.8417021274566651
22,22.0,2,70,0.005,"[[0.7134502923976608, 0.5829787254333496, 237, 235], [0.9133858267716537, 0.9063829779624939, 472, 235], [0.6557377049180327, 0.7319148778915405, 707, 235], [0.8965517241379312, 0.8851063847541809, 942, 235], [0.835820895522388, 0.8595744967460632, 1177, 235]]",0.8029892887495332,0.7931914925575256
23,23.0,2,70,0.01,"[[0.7577639751552795, 0.6680850982666016, 237, 235], [0.8153310104529616, 0.7744680643081665, 472, 235], [0.6702702702702703, 0.7404255270957947, 707, 235], [0.7727272727272727, 0.6595744490623474, 942, 235], [0.9065420560747663, 0.914893627166748, 1177, 235]]",0.78452691693611,0.7514893531799316
0,,3,10,0.001,"[[0.7104477611940299, 0.5872340202331543, 237, 235], [0.8957528957528959, 0.8851063847541809, 472, 235], [0.9365079365079364, 0.9319148659706116, 707, 235], [0.8976897689768977, 0.8680850863456726, 942, 235], [0.9069767441860465, 0.8978723287582397, 1177, 235]]",0.8694750213235611,0.8340425372123719
1,,3,10,0.005,"[[0.679245283018868, 0.6382978558540344, 237, 235], [0.8957528957528959, 0.8851063847541809, 472, 235], [0.9302325581395349, 0.9234042763710022, 707, 235], [0.883720930232558, 0.8510638475418091, 942, 235], [0.924901185770751, 0.9191489219665527, 1177, 235]]",0.8627705705829214,0.8434042572975159
2,,3,10,0.01,"[[0.7155425219941349, 0.5872340202331543, 237, 235], [0.9827586206896551, 0.9829787015914917, 472, 235], [0.8285714285714285, 0.8468084931373596, 707, 235], [0.9389312977099237, 0.9319148659706116, 942, 235], [0.8796992481203008, 0.8638297915458679, 1177, 235]]",0.8691006234170885,0.842553174495697
3,,3,30,0.001,"[[0.7261904761904762, 0.6085106134414673, 237, 235], [0.8268551236749118, 0.7914893627166748, 472, 235], [0.9635627530364373, 0.9617021083831787, 707, 235], [0.9136690647482013, 0.8978723287582397, 942, 235], [0.9397590361445783, 0.936170220375061, 1177, 235]]",0.874007290758921,0.8391489267349244
4,,3,30,0.005,"[[0.7439024390243902, 0.6425532102584839, 237, 235], [0.897196261682243, 0.9063829779624939, 472, 235], [0.9266409266409267, 0.9191489219665527, 707, 235], [0.8827586206896552, 0.8553191423416138, 942, 235], [0.9473684210526316, 0.9446808695793152, 1177, 235]]",0.8795733338179692,0.8536170244216919
5,,3,30,0.01,"[[0.7011494252873562, 0.5574468374252319, 237, 235], [0.9702127659574468, 0.9702127575874329, 472, 235], [0.8173076923076924, 0.8382978439331055, 707, 235], [0.9399293286219081, 0.9276595711708069, 942, 235], [0.9547325102880659, 0.9531915187835693, 1177, 235]]",0.8766663444924939,0.8493617057800293
6,,3,50,0.001,"[[0.7218934911242603, 0.6000000238418579, 237, 235], [0.9344262295081966, 0.9319148659706116, 472, 235], [0.8512110726643599, 0.8170212507247925, 707, 235], [0.8530465949820789, 0.8255318999290466, 942, 235], [0.951219512195122, 0.9489361643791199, 1177, 235]]",0.8623593800948035,0.8246808409690857
7,,3,50,0.005,"[[0.7770700636942676, 0.7021276354789734, 237, 235], [0.9065420560747663, 0.914893627166748, 472, 235], [0.9210526315789475, 0.9234042763710022, 707, 235], [0.9147286821705426, 0.9063829779624939, 942, 235], [0.8357142857142857, 0.8042553067207336, 1177, 235]]",0.8710215438465619,0.8502127647399902
8,,3,50,0.01,"[[0.7746031746031746, 0.6978723406791687, 237, 235], [0.9014084507042254, 0.9106382727622986, 472, 235], [0.8968609865470852, 0.9021276831626892, 707, 235], [0.912751677852349, 0.8893616795539856, 942, 235], [0.951111111111111, 0.9531915187835693, 1177, 235]]",0.887347080163589,0.8706382989883423
9,,3,70,0.001,"[[0.7416413373860182, 0.6382978558540344, 237, 235], [0.83, 0.8553191423416138, 472, 235], [0.917910447761194, 0.9063829779624939, 707, 235], [0.8607594936708861, 0.8127659559249878, 942, 235], [0.978723404255319, 0.978723406791687, 1177, 235]]",0.8658069366146834,0.8382978677749634
10,,3,70,0.005,"[[0.6846153846153846, 0.651063859462738, 237, 235], [0.91699604743083, 0.9106382727622986, 472, 235], [0.8512110726643599, 0.8170212507247925, 707, 235], [0.8451882845188284, 0.8425531983375549, 942, 235], [0.983050847457627, 0.9829787015914917, 1177, 235]]",0.8562123273374059,0.8408510565757752
11,,3,70,0.01,"[[0.7113702623906706, 0.5787234306335449, 237, 235], [0.9140271493212669, 0.9191489219665527, 472, 235], [0.9416666666666668, 0.9404255151748657, 707, 235], [0.9066666666666667, 0.8808510899543762, 942, 235], [0.9649122807017545, 0.9659574627876282, 1177, 235]]",0.8877286051494051,0.8570212841033935
12,,4,10,0.001,"[[0.6971428571428571, 0.5489361882209778, 237, 235], [0.9163346613545816, 0.9106382727622986, 472, 235], [0.9302325581395349, 0.9234042763710022, 707, 235], [0.9370629370629371, 0.9234042763710022, 942, 235], [0.9590163934426229, 0.957446813583374, 1177, 235]]",0.8879578814285066,0.852765965461731
13,,4,10,0.005,"[[0.7134502923976608, 0.5829787254333496, 237, 235], [0.8447653429602888, 0.8170212507247925, 472, 235], [0.9010989010989011, 0.8851063847541809, 707, 235], [0.8859934853420195, 0.8510638475418091, 942, 235], [0.9694323144104804, 0.9702127575874329, 1177, 235]]",0.8629480672418701,0.821276593208313
14,,4,10,0.01,"[[0.7327327327327328, 0.6212766170501709, 237, 235], [0.9500000000000001, 0.9489361643791199, 472, 235], [0.9416666666666668, 0.9404255151748657, 707, 235], [0.8487084870848709, 0.8255318999290466, 942, 235], [0.936, 0.9319148659706116, 1177, 235]]",0.8818215772968541,0.8536170125007629
15,,4,30,0.001,"[[0.7223880597014926, 0.6042553186416626, 237, 235], [0.9369369369369369, 0.9404255151748657, 472, 235], [0.6557377049180327, 0.7319148778915405, 707, 235], [0.8918032786885245, 0.8595744967460632, 942, 235], [0.8863636363636364, 0.8723404407501221, 1177, 235]]",0.8186459233217246,0.8017021298408509
16,,4,30,0.005,"[[0.7261904761904762, 0.6085106134414673, 237, 235], [0.8992248062015504, 0.8893616795539856, 472, 235], [0.9374999999999999, 0.9319148659706116, 707, 235], [0.8369230769230769, 0.7744680643081665, 942, 235], [0.9551020408163265, 0.9531915187835693, 1177, 235]]",0.870988080026286,0.8314893484115601
17,,4,30,0.01,"[[0.8053691275167784, 0.7531914710998535, 237, 235], [0.9279999999999999, 0.9234042763710022, 472, 235], [0.7761194029850745, 0.8085106611251831, 707, 235], [0.8438818565400844, 0.8425531983375549, 942, 235], [0.9508196721311475, 0.9489361643791199, 1177, 235]]",0.8608380118346168,0.8553191542625427
18,,4,50,0.001,"[[0.7577639751552795, 0.6680850982666016, 237, 235], [0.9392712550607288, 0.936170220375061, 472, 235], [0.8978102189781023, 0.8808510899543762, 707, 235], [0.8933333333333334, 0.8638297915458679, 942, 235], [0.9789029535864978, 0.978723406791687, 1177, 235]]",0.8934163472227883,0.8655319213867188
19,,4,50,0.005,"[[0.7218934911242603, 0.6000000238418579, 237, 235], [0.9623430962343097, 0.9617021083831787, 472, 235], [0.8, 0.8255318999290466, 707, 235], [0.9036544850498339, 0.8765957355499268, 942, 235], [0.9557522123893806, 0.957446813583374, 1177, 235]]",0.8687286569595569,0.8442553162574769
20,,4,50,0.01,"[[0.7052023121387282, 0.5659574270248413, 237, 235], [0.9354838709677419, 0.9319148659706116, 472, 235], [0.9396551724137931, 0.9404255151748657, 707, 235], [0.9399293286219081, 0.9276595711708069, 942, 235], [0.9551020408163265, 0.9531915187835693, 1177, 235]]",0.8950745449916996,0.863829779624939
21,,4,70,0.001,"[[0.7164179104477612, 0.6765957474708557, 237, 235], [0.9421487603305785, 0.9404255151748657, 472, 235], [0.7638190954773869, 0.800000011920929, 707, 235], [0.875, 0.8382978439331055, 942, 235], [0.8540145985401459, 0.8297872543334961, 1177, 235]]",0.8302800729591745,0.8170212745666504
22,,4,70,0.005,"[[0.7113702623906706, 0.5787234306335449, 237, 235], [0.8854961832061069, 0.8723404407501221, 472, 235], [0.9590163934426229, 0.957446813583374, 707, 235], [0.8768115942028986, 0.8553191423416138, 942, 235], [0.8796992481203008, 0.8638297915458679, 1177, 235]]",0.86247873627252,0.8255319237709046
23,,4,70,0.01,"[[0.7439024390243902, 0.6425532102584839, 237, 235], [0.8923076923076922, 0.8808510899543762, 472, 235], [0.7052631578947368, 0.7617021203041077, 707, 235], [0.922509225092251, 0.9106382727622986, 942, 235], [0.924901185770751, 0.9191489219665527, 1177, 235]]",0.8377767400179643,0.8229787230491639
